             PESQUISA FILTRO-A1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mês,RECIBO,Dt. Lançamento,Dt. Vec.,TIPO DOC.,Nº DOC.,ENTRADAS / SAÍDAS,FORNECEDORES,CÓD. DIZIMISTA,NOME DIZIMISTA,FUNÇÃO,OBS.,Valor,Conta,Pago?,TIPO LANÇ.,HISTÓRICO,SITUAÇÃO
11,,,,,,,,,,,,,,,,,
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1,,2-jan.-23,2-jan.-23,,,SALDO MÊS ANTERIOR,TEMPLO CENTRAL,,,,SALDO DO ANO ANTERIOR," R$ 15.249,08 ",CAIXA IGREJA,SIM,RECEITA,SALDO DO ANO ANTERIORSALDO MÊS ANTERIOR- TEMPLO CENTRAL - RECIBO -,VENCIDO
1,02105,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,MONTE DAS OLIVEIRAS,00188,GLEISSON GOMES,DC.,DEP. BANCARIO," R$ 420,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-GLEISSON GOMES MONTE DAS OLIVEIRAS - RECIBO -2105,VENCIDO
1,02106,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,LUZ E VIDA,00362,WELLINGTON SENA,DC.,DEP. BANCARIO," R$ 197,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-WELLINGTON SENA LUZ E VIDA - RECIBO -2106,VENCIDO
1,,2-jan.-23,2-jan.-23,,,SALDO MÊS ANTERIOR,TEMPLO CENTRAL,,,,SALDO DO ANO ANTERIOR," R$ 15.249,08 ",CAIXA IGREJA,SIM,RECEITA,SALDO DO ANO ANTERIORSALDO MÊS ANTERIOR- TEMPLO CENTRAL - RECIBO -,VENCIDO
1,02105,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,MONTE DAS OLIVEIRAS,00188,GLEISSON GOMES,DC.,DEP. BANCARIO," R$ 420,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-GLEISSON GOMES MONTE DAS OLIVEIRAS - RECIBO -2105,VENCIDO
1,02109,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,MONTE MORIÁ,00046,GILSON CARLOS P. SENADO,DC.,DEP. BANCARIO," R$ 596,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-GILSON CARLOS P. SENADO MONTE MORIÁ - RECIBO -2109,VENCIDO
1,02110,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,LIBERDADE,00059,JOAO SANTOS BARBOSA,DC.,DEP. BANCARIO," R$ 190,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-JOAO SANTOS BARBOSA LIBERDADE - RECIBO -2110,VENCIDO
1,02108,2-jan.-23,2-jan.-23,,,ENTRADA DÍZIMO OBREIRO,TEMPLO CENTRAL,00327,JOSE RODRIGO SILVA DOS SANTOS,DC. ,DEP. BANCARIO," R$ 435,00 ",CAIXA IGREJA,SIM,RECEITA,DEP. BANCARIOENTRADA DÍZIMO OBREIRO-JOSE RODRIGO SILVA DOS SANTOS TEMPLO CENTRAL - RECIBO -2108,VENCIDO
